name,link
"7.5折廣告【618買一送一+免運】Chanel 蔚藍香水 男士香水 香奈兒香水 五號蔚藍  男生香水 blue 現貨 附發票+禮袋滿額折$110$1,088 - $2,063已售出 197雲林縣虎尾鎮找相似",https://shopee.tw//【618買一送一-免運】Chanel-蔚藍香水-男士香水-香奈兒香水-五號蔚藍-男生香水-blue-現貨-附發票-禮袋-i.22760298.15087778136?sp_atk=a71d9b61-5b57-46d9-9d5b-d6538e8cec95&xptdk=a71d9b61-5b57-46d9-9d5b-d6538e8cec95
"9折廣告Chanel Bleu分裝試香 蔚藍香水 男性淡香水 男香 香奈兒香水 BLEU 淡香精 經典蔚藍淡香水男士 100ml滿額贈$1,611 - $2,295已售出 44臺南市中西區找相似",https://shopee.tw//Chanel-Bleu分裝試香-蔚藍香水-男性淡香水-男香-香奈兒香水-BLEU-淡香精-經典蔚藍淡香水男士-100ml-i.7522019.21306090648?sp_atk=59713ab6-e861-4562-8bd4-829a2534662e&xptdk=59713ab6-e861-4562-8bd4-829a2534662e
"廣告8H內出貨【送試香+附證明+紙袋】CH-ANEL 香奈兒香水 粉/綠/黃邂逅香水 持久女士魅力香水 女香100ml滿額折$60$1,050 - $2,050已售出 96嘉義市西區找相似",https://shopee.tw//8H內出貨【送試香-附證明-紙袋】CH-ANEL-香奈兒香水-粉-綠-黃邂逅香水-持久女士魅力香水-女香100ml-i.28193775.18312838062?sp_atk=a2cca8d1-4d87-4519-98fd-f6e2c912cedb&xptdk=a2cca8d1-4d87-4519-98fd-f6e2c912cedb
"9.8折廣告現貨+免運 二手正品 Chanel 香奈兒 新款一字拉鍊 荔枝黑牛皮金釦 菱格荔枝紋 零錢包 A82365滿額折$299$6,000$5,880已售出 7桃園市楊梅區找相似",https://shopee.tw//現貨-免運-二手正品-Chanel-香奈兒-新款一字拉鍊-荔枝黑牛皮金釦-菱格荔枝紋-零錢包-A82365-i.17682216.15574773571?sp_atk=4b73b3a6-35b9-4c6b-acb1-4f1ed09e2fd3&xptdk=4b73b3a6-35b9-4c6b-acb1-4f1ed09e2fd3
"9.8折廣告現貨+免運 二手正品 CHANEL 香奈兒 22SS 愛心包 鏈條愛心 心型手提包 單肩斜跨包 女款 黑色 AS3191滿額折$899$15,000$14,700已售出 2桃園市楊梅區找相似",https://shopee.tw//現貨-免運-二手正品-CHANEL-香奈兒-22SS-愛心包-鏈條愛心-心型手提包-單肩斜跨包-女款-黑色-AS3191-i.17682216.16565424313?sp_atk=c189cc68-2ca7-4945-bf36-9141df06d0d3&xptdk=c189cc68-2ca7-4945-bf36-9141df06d0d3
"蝦皮優選9.5折《J》chanel 香奈兒 2021 珍珠光感系列彩妝 晶亮水唇膏 超炫耀持色唇萃 coco唇膏 四色眼影 超炫耀唇膏$1,370$1,302已售出 10新竹市北區找相似",https://shopee.tw//《J》chanel-香奈兒-2021-珍珠光感系列彩妝-晶亮水唇膏-超炫耀持色唇萃-coco唇膏-四色眼影-超炫耀唇膏-i.2644546.3007084127?sp_atk=cb615b3b-67aa-42c7-9dfb-d62d70b2eda9&xptdk=cb615b3b-67aa-42c7-9dfb-d62d70b2eda9
蝦皮優選【CHANEL】香奈兒 No.5 L'EAU 清新晨露   卡片$70 - $140已售出 904臺中市北區找相似,https://shopee.tw//【CHANEL】香奈兒-No.5-L'EAU-清新晨露-卡片-i.5539906.5256447736?sp_atk=e25dbe29-fbf5-4c0f-93fe-bfa0a92d6ed2&xptdk=e25dbe29-fbf5-4c0f-93fe-bfa0a92d6ed2
"Limit 精品✔️Chanel 香奈兒 菱格紋 荔枝皮革牛皮 銀扣 拉鍊零錢包滿額贈$24,800桃園市中壢區找相似",https://shopee.tw//Limit-精品✔️Chanel-香奈兒-菱格紋-荔枝皮革牛皮-銀扣-拉鍊零錢包-i.7742098.15877566307?sp_atk=da4cbe85-6076-4312-b237-d47e0252024e&xptdk=da4cbe85-6076-4312-b237-d47e0252024e
"蝦皮優選CHANEL香奈兒🌷COCO持色潤唇膏【艾米花】914 916 920 924 唇膏 護唇膏 口紅滿額折$30$1,390已售出 74新竹縣竹北市找相似",https://shopee.tw//CHANEL香奈兒🌷COCO持色潤唇膏【艾米花】914-916-920-924-唇膏-護唇膏-口紅-i.16241597.12567397479?sp_atk=483ba64f-eaaa-4695-aa52-f6de1f4574ec&xptdk=483ba64f-eaaa-4695-aa52-f6de1f4574ec
"小雪二手 CHANEL 香奈兒 金LOGO 荔枝紋/羊皮 香奈兒中夾 A48667 錢包滿額折$100$4,500已售出 1臺中市西區找相似",https://shopee.tw//小雪二手-CHANEL-香奈兒-金LOGO-荔枝紋-羊皮-香奈兒中夾-A48667-錢包-i.40780577.17330059911?sp_atk=6730cc1e-c4cd-4c47-824b-90e606e0bc5a&xptdk=6730cc1e-c4cd-4c47-824b-90e606e0bc5a
