name,link
廣告免運㊣【附發票+禮品袋】Pour Homme Soir大吉嶺茶 男性香水 原版/極緻/夜幽100ml 男士香水 持久留香滿額折$100$998桃園市大園區找相似,https://shopee.tw//免運㊣【附發票-禮品袋】Pour-Homme-Soir大吉嶺茶-男性香水-原版-極緻-夜幽100ml-男士香水-持久留香-i.766107115.19513430400?sp_atk=bb47e3da-7200-462c-9bfb-8961741d69df&xptdk=bb47e3da-7200-462c-9bfb-8961741d69df
"6.1折廣告6.21限時下訂買一送一 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml  EDT EDP持久留香男禮物木質香2 件 5折$2,450$1,489已售出 37嘉義市西區找相似",https://shopee.tw//6.21限時下訂買一送一-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-EDT-EDP持久留香男禮物木質香-i.97576085.21310058821?sp_atk=80d0a5e6-93d1-4567-9053-8e710bdf61c9&xptdk=80d0a5e6-93d1-4567-9053-8e710bdf61c9
"7.5折廣告6.21限定下單買一送一Maison Mar.giela 馬丁-馬吉拉淡香水泡泡浴 航海日 鮮花市場 慵懶週日 壁爐火光2 件 5折$2,980$2,236嘉義市西區找相似",https://shopee.tw//6.21限定下單買一送一Maison-Mar.giela-馬丁-馬吉拉淡香水泡泡浴-航海日-鮮花市場-慵懶週日-壁爐火光-i.97576085.14487936009?sp_atk=bc1e6b5b-adc8-4555-9738-022fd0f5b31f&xptdk=bc1e6b5b-adc8-4555-9738-022fd0f5b31f
"廣告100%正品【帶發票+禮袋】香水⚗英國梨與小蒼蘭 鼠尾草與海鹽 藍風鈴 30ml/100ml 中性香水 男女香水滿額折$99滿額贈$725 - $1,120已售出 93桃園市大園區找相似",https://shopee.tw//100-正品【帶發票-禮袋】香水⚗英國梨與小蒼蘭-鼠尾草與海鹽-藍風鈴-30ml-100ml-中性香水-男女香水-i.763643695.18501527118?sp_atk=81ea50d2-be83-4408-ac22-2e4c0ed0d332&xptdk=81ea50d2-be83-4408-ac22-2e4c0ed0d332
"3.7折廣告6.21限定下單 買一送一 正貨 Y.S.L香水 欲望巴黎50ML 90ML 正貨專櫃香水 不正包退 反轉香水自由不羈2 件 5折$936 - $1,668已售出 45嘉義市西區找相似",https://shopee.tw//6.21限定下單-買一送一-正貨-Y.S.L香水-欲望巴黎50ML-90ML-正貨專櫃香水-不正包退-反轉香水自由不羈-i.97576085.21603600887?sp_atk=f3bab81a-d0c1-4af2-a215-f3f454a93e29&xptdk=f3bab81a-d0c1-4af2-a215-f3f454a93e29
"蝦皮優選☆MOMO小屋☆ Dunhill Man 時尚詩人 男性淡香水 75ml$1,450已售出 12臺北市萬華區找相似",https://shopee.tw//☆MOMO小屋☆-Dunhill-Man-時尚詩人-男性淡香水-75ml-i.2919063.10344195042?sp_atk=be20402a-0974-46e3-b6db-1b839c246229&xptdk=be20402a-0974-46e3-b6db-1b839c246229
"【艾莉❤美妝小鋪】dunhill ICON RACING 極速男性淡香精 50 / 100ml$1,090已售出 7臺北市中正區找相似",https://shopee.tw//【艾莉❤美妝小鋪】dunhill-ICON-RACING-極速男性淡香精-50-100ml-i.2298919.865655378?sp_atk=38f6f223-2dee-41cc-a755-e747dc341c82&xptdk=38f6f223-2dee-41cc-a755-e747dc341c82
"蝦皮優選☆YOYO小棧☆ Dunhill Edition Spray 經典 同名 男性淡香水 100ml【 送5ml 快速空瓶$1,350已售出 14臺北市萬華區找相似",https://shopee.tw//☆YOYO小棧☆-Dunhill-Edition-Spray-經典-同名-男性淡香水-100ml【-送5ml-快速空瓶-i.2921966.13902662302?sp_atk=86e4d552-15b8-4f87-929c-1d9354171fc3&xptdk=86e4d552-15b8-4f87-929c-1d9354171fc3
"6折Dunhill Icon Absolute 金格 男性淡香精 50ml / 100ml〔 10點半香水美妝 〕$2,600$1,550已售出 4臺中市西區找相似",https://shopee.tw//Dunhill-Icon-Absolute-金格-男性淡香精-50ml-100ml〔-10點半香水美妝-〕-i.54574900.7097844253?sp_atk=09c0f61a-81f2-4f1a-9015-f166ec818df6&xptdk=09c0f61a-81f2-4f1a-9015-f166ec818df6
"✰YENGEE✰ Dunhill Icon Absolute 金格男性淡香精  50 100ML$990 - $1,549已售出 3臺北市大同區找相似",https://shopee.tw//✰YENGEE✰-Dunhill-Icon-Absolute-金格男性淡香精-50-100ML-i.20782639.10979787145?sp_atk=4de66c0a-af03-4d25-acbb-f97d971ac458&xptdk=4de66c0a-af03-4d25-acbb-f97d971ac458
"蝦皮優選☆MOMO小屋☆ Dunhill Desire Silver 登喜路 銀光 男性淡香水 100ml$1,250已售出 15臺北市萬華區找相似",https://shopee.tw//☆MOMO小屋☆-Dunhill-Desire-Silver-登喜路-銀光-男性淡香水-100ml-i.2919063.12705398933?sp_atk=804e26fc-8142-4215-a49f-dd179ff37dd1&xptdk=804e26fc-8142-4215-a49f-dd179ff37dd1
"Dunhill Icon Absolute 金格男性淡香精 100ML / 50ML《小平頭香水店》$990 - $1,549已售出 5臺北市大同區找相似",https://shopee.tw//Dunhill-Icon-Absolute-金格男性淡香精-100ML-50ML《小平頭香水店》-i.921988.11783128818?sp_atk=ed98c807-8be8-4d84-b706-5f46118597a2&xptdk=ed98c807-8be8-4d84-b706-5f46118597a2
((試香)) Dunhill Signature 高訂 Indian Sandalwood 印度檀木 香水分裝$60 - $290已售出 6臺中市豐原區找相似,https://shopee.tw//((試香))-Dunhill-Signature-高訂-Indian-Sandalwood-印度檀木-香水分裝-i.224023342.12447805729?sp_atk=22654205-c7b4-4a2c-8699-e370d24db1a7&xptdk=22654205-c7b4-4a2c-8699-e370d24db1a7
【艾莉❤美妝小鋪】Dunhill Driven 登喜路 極限光速男性淡香水 100ml~TESTER 309-497$999已售出 3臺北市中正區找相似,https://shopee.tw//【艾莉❤美妝小鋪】Dunhill-Driven-登喜路-極限光速男性淡香水-100ml~TESTER-309-497-i.2298919.12781522369?sp_atk=8de6421d-b1b4-473e-beb5-2c246c828abe&xptdk=8de6421d-b1b4-473e-beb5-2c246c828abe
"『WNP』Dunhill Icon Absolute 金格男性淡香精 50100ML$990 - $1,549已售出 3臺北市大同區找相似",https://shopee.tw//『WNP』Dunhill-Icon-Absolute-金格男性淡香精-50100ML-i.80228033.15326192488?sp_atk=d4ed0ca7-928c-460d-95ca-b7d87eec2ef2&xptdk=d4ed0ca7-928c-460d-95ca-b7d87eec2ef2
"8折廣告💋買一送一💋髒話香水 Juicy C0uture  淡香水 100ml 橘滋 臟話 壞男孩 男士香水 100ml2 件 5折$1,980$1,580新北市石門區找相似",https://shopee.tw//💋買一送一💋髒話香水-Juicy-C0uture-淡香水-100ml-橘滋-臟話-壞男孩-男士香水-100ml-i.97578126.18712167963?sp_atk=508f7349-704d-4f6a-a911-51fb02dc0bc0&xptdk=508f7349-704d-4f6a-a911-51fb02dc0bc0
"5.2折廣告6.21限定下單 買一送一 愛馬❁仕香水 橘采星光 藍色星光 屋頂花園 李先生的花園 尼羅河花園 大地男士香水 絲巾香水2 件 5折$1,698 - $1,880已售出 1嘉義市西區找相似",https://shopee.tw//6.21限定下單-買一送一-愛馬❁仕香水-橘采星光-藍色星光-屋頂花園-李先生的花園-尼羅河花園-大地男士香水-絲巾香水-i.97576085.17373803436?sp_atk=260f9b79-ff15-4654-9aec-7ba56ee447eb&xptdk=260f9b79-ff15-4654-9aec-7ba56ee447eb
"廣告【專櫃+免運+發票】 Pour Homme Soir大吉嶺夜幽 極致 男士淡香水 男士香水 EDT$1,000已售出 45桃園市大園區找相似",https://shopee.tw//【專櫃-免運-發票】-Pour-Homme-Soir大吉嶺夜幽-極致-男士淡香水-男士香水-EDT-i.5263687.16231029056?sp_atk=63dc220d-bc83-4aba-855d-e0c3b2aa4be1&xptdk=63dc220d-bc83-4aba-855d-e0c3b2aa4be1
"6.2折廣告❁買一送一❁Bvlg❁ari 寶格❁麗 香水 大吉嶺茶 原版 夜幽 極致 女士香水 中性淡香水 男士淡香水2 件 5折$2,890$1,780臺北市松山區找相似",https://shopee.tw//❁買一送一❁Bvlg❁ari-寶格❁麗-香水-大吉嶺茶-原版-夜幽-極致-女士香水-中性淡香水-男士淡香水-i.97576140.20810017073?sp_atk=c663dbd7-c2ef-4732-a767-2568694efbb4&xptdk=c663dbd7-c2ef-4732-a767-2568694efbb4
