title,link,note,top_note,heart_note,base_note
《二手/正裝（125ml）》Lamborghini 權威能量/神話能量/水能量/男性淡香水$600已售出 2新北市永和區找相似,https://shopee.tw//《二手-正裝（125ml）》Lamborghini-權威能量-神話能量-水能量-男性淡香水-i.42713111.15010060998?sp_atk=979003f7-7aa7-4f1c-84cc-7f1c4889167c&xptdk=979003f7-7aa7-4f1c-84cc-7f1c4889167c,,前味:檸檬、馥奇香調,中味:絲滑木材、茉莉、鈴蘭百合,後味:麝香、檀香、香草、西洋杉
[珍愛香水] Lamborghini] ginevra 花漾誘惑/罪愛誘惑 女性淡香精 49元針管香水系列 1.5ml$49已售出 1臺北市中山區找相似,https://shopee.tw//-珍愛香水-Lamborghini-ginevra-花漾誘惑-罪愛誘惑-女性淡香精-49元針管香水系列-1.5ml-i.174553003.17528485270?sp_atk=f6e0a511-969a-4c8b-877d-0509015f3338&xptdk=f6e0a511-969a-4c8b-877d-0509015f3338,,前味:檸檬、覆盆莓、柑橘花、橙花,中味:梔子花、茉莉花、鈴蘭百合、鳶尾花,後味:檀香、琥珀、麝香、天鵝絨木
分香閣Lamborghini Ginevra罪愛誘惑女性淡香精 分享瓶分裝瓶小ml小香試管針管香水淡香水古龍水香精淡香精$45 - $145已售出 1花蓮縣花蓮市找相似,https://shopee.tw//分香閣Lamborghini-Ginevra罪愛誘惑女性淡香精-分享瓶分裝瓶小ml小香試管針管香水淡香水古龍水香精淡香精-i.630102045.15432525873?sp_atk=65e16976-d7d5-4a7b-a4cc-9f794ec150c3&xptdk=65e16976-d7d5-4a7b-a4cc-9f794ec150c3,,前味:檸檬、覆盒莓、柑橘花、橙花,中味:梔子花、茉莉花、鈴蘭百合、鳶尾花,後味:檀香、琥珀、麝香、天鵝絨木
Lamborghini藍寶堅尼 戰神覺醒男性淡香水-Tester(125ml)$555臺中市太平區找相似,https://shopee.tw//Lamborghini藍寶堅尼-戰神覺醒男性淡香水-Tester(125ml)-i.21316726.10818882769?sp_atk=73a6e927-9fd8-411c-ae20-d330f34803cd&xptdk=73a6e927-9fd8-411c-ae20-d330f34803cd,,前味:佛手柑、黑醋栗、鳳梨、蘋果,中味:樺木、廣藿香、玫瑰、摩洛哥茉莉花,後味:麝香、橡木苔、香草、龍涎香
"Tonino Lamborghini活躍世代男性淡香水40ml Vivo薇朵$1,720臺北市大安區找相似",https://shopee.tw//Tonino-Lamborghini活躍世代男性淡香水40ml-Vivo薇朵-i.22056733.10855964292?sp_atk=6379887f-f9c9-49d6-8c06-a8d5ecdf5f97&xptdk=6379887f-f9c9-49d6-8c06-a8d5ecdf5f97,,前味:萊姆、臭氧、葡萄柚、蘋果,中味:喀什米爾木、煙草玫瑰、睡蓮、月桂葉,後味:麝香、檀香、龍涎香、橡苔
Lamborghini藍寶堅尼權威能量男性淡香水(125ml)  Tester包裝$720新北市板橋區找相似,https://shopee.tw//Lamborghini藍寶堅尼權威能量男性淡香水(125ml)-Tester包裝-i.2160180.17853074217?sp_atk=32a1ae93-b3f6-4ddd-baa9-9f790c430b24&xptdk=32a1ae93-b3f6-4ddd-baa9-9f790c430b24,,商品規格分類蝦皮購物美妝保養香水、香氛品牌ToninoLamborghini性別男性香水濃度EDT、淡香水質地噴霧商品數量1出貨地新北市板橋區商品詳情前味:西西里檸檬、李子,中味:梔子花、紫羅蘭葉、絲滑木材,後味:香草、麝香、檀香
"Lamborghini 藍寶堅尼 Millennials 輝煌世代 淡香水 40ml/125ml 《BEAULY倍莉》滿額折$180$1,380 - $2,580臺中市南區找相似",https://shopee.tw//Lamborghini-藍寶堅尼-Millennials-輝煌世代-淡香水-40ml-125ml-《BEAULY倍莉》-i.313807339.10623891897?sp_atk=05c2215c-23f7-4557-ae5e-755aaab36c4b&xptdk=05c2215c-23f7-4557-ae5e-755aaab36c4b,,前味:葡萄柚、大黃、粉紅胡椒、熏香,中味:琥珀、丁香、紫羅蘭、皮革,後味:香根草、喀什米爾木、雪松木、廣藿香
"4.5折廣告男士香水 男生香水 男用香水 古龍香水 紳士 蔚藍香水 曠野香氛 持久男人味 性感香水 魅惑 生日禮物 情人節禮物加價購$199$89已售出 5,094新北市汐止區找相似",https://shopee.tw//男士香水-男生香水-男用香水-古龍香水-紳士-蔚藍香水-曠野香氛-持久男人味-性感香水-魅惑-生日禮物-情人節禮物-i.130047900.9841595086?sp_atk=8f258fd4-455c-4165-9b35-d9817f2bd21c&xptdk=8f258fd4-455c-4165-9b35-d9817f2bd21c,,前調:胡椒、香檸檬,中調:老鶴草、薰衣草、粉紅胡椒、香根草、廣藿香,後調:雪松、劳丹脂、龍涎香
【East 279東貳柒玖服飾】藍寶堅尼 經典能量男性淡香水125ML#在台現貨$750臺南市東區找相似,https://shopee.tw//【East-279東貳柒玖服飾】藍寶堅尼-經典能量男性淡香水125ML-在台現貨-i.677759490.17031084288?sp_atk=cc5fc08c-35f3-4c95-8f18-4acfb90bcfa8&xptdk=cc5fc08c-35f3-4c95-8f18-4acfb90bcfa8,,🌟前味:檸檬.葡萄柚.青蘋果,中味:珍貴木材.茉莉.鈴蘭百合,後味:麝香.檀香
"Tonino Lamborghini神話能量男性淡香水75ml(贈)權威能量男性淡香水75mlVivo薇朵$2,900臺北市大安區找相似",https://shopee.tw//Tonino-Lamborghini神話能量男性淡香水75ml(贈)權威能量男性淡香水75mlVivo薇朵-i.22056733.4069891223?sp_atk=8265feda-052e-41c0-b3f1-2015dbcc5c57&xptdk=8265feda-052e-41c0-b3f1-2015dbcc5c57,,前味:檸檬、艾草、青蘋果,中味:絲滑木材、鈴蘭百合、紫羅蘭葉,後味:香草、麝香、琥珀
♕分裝香水 Lamborghini 藍寶堅尼 水能量男性淡香水  5ml分裝$50 - $200已售出 3嘉義市東區找相似,https://shopee.tw//♕分裝香水-Lamborghini-藍寶堅尼-水能量男性淡香水-5ml分裝-i.162264335.4551785558?sp_atk=e997ff9c-80f6-4656-8ad8-1ca4153ab016&xptdk=e997ff9c-80f6-4656-8ad8-1ca4153ab016,,前味:檸檬、馥奇香調,中味:絲滑木材、茉莉、鈴蘭百合,後味:麝香、檀香、香草、西洋杉
"藍寶堅尼香水 情人節禮物 禮物 情人節 香水 男生香水 男性淡香水 麝香 質感香水 男生禮物 禮品 男生 125ml香水$1,580已售出 1新北市中和區找相似",https://shopee.tw//藍寶堅尼香水-情人節禮物-禮物-情人節-香水-男生香水-男性淡香水-麝香-質感香水-男生禮物-禮品-男生-125ml香水-i.5075724.7016426948?sp_atk=0e77c2f1-6886-4786-a712-97f38c7bee61&xptdk=0e77c2f1-6886-4786-a712-97f38c7bee61,香調:東方調,前味:西西里檸檬、李子,中味:梔子花、紫羅蘭葉、絲滑木材,後味:香草、麝香、檀香
Lamborghini Millennials 輝煌世代 淡香水 針管 1.5ml【娜娜OUTLET】 藍寶堅尼 試管$69臺中市大里區找相似,https://shopee.tw//Lamborghini-Millennials-輝煌世代-淡香水-針管-1.5ml【娜娜OUTLET】-藍寶堅尼-試管-i.10797580.10768989796?sp_atk=c8b5d059-06cc-46af-80fc-1f71430488cd&xptdk=c8b5d059-06cc-46af-80fc-1f71430488cd,,前味:葡萄柚、大黃、粉紅胡椒、熏香,中味:琥珀、丁香、紫羅蘭、皮革,後味:香根草、喀什米爾木、雪松木、廣藿香
"藍寶堅尼香水 情人節禮物 禮物 情人節 香水 男生香水 男性淡香水 麝香 質感香水 男生禮物 禮品 男生 125ml香水$1,480新竹縣竹北市找相似",https://shopee.tw//藍寶堅尼香水-情人節禮物-禮物-情人節-香水-男生香水-男性淡香水-麝香-質感香水-男生禮物-禮品-男生-125ml香水-i.6653559.4416423523?sp_atk=3ae1194d-b4ed-40d7-94f1-f3c107b9d177&xptdk=3ae1194d-b4ed-40d7-94f1-f3c107b9d177,香調:東方調,前味:西西里檸檬、李子,中味:梔子花、紫羅蘭葉、絲滑木材,後味:香草、麝香、檀香
"藍寶堅尼 水能量男性淡香水（125ml)$1,250新北市三芝區找相似",https://shopee.tw//藍寶堅尼-水能量男性淡香水（125ml)-i.8662735.6831825587?sp_atk=dfe008f1-481d-4c8f-a9e3-6c9bb455b2e2&xptdk=dfe008f1-481d-4c8f-a9e3-6c9bb455b2e2,,前味:檸檬、馥奇香調,中味:絲滑木材、茉莉、鈴蘭百合,後味:麝香、檀香、香草、西洋杉
"Lamborghini 藍寶堅尼 Sportivo 紅牛能量男性淡香水 125ml 《BEAULY倍莉》 送禮首選 小牛滿額折$180$1,390臺中市南區找相似",https://shopee.tw//Lamborghini-藍寶堅尼-Sportivo-紅牛能量男性淡香水-125ml-《BEAULY倍莉》-送禮首選-小牛-i.313807339.8460597497?sp_atk=2f88c7ca-327e-4f48-8c71-fea6fd662a06&xptdk=2f88c7ca-327e-4f48-8c71-fea6fd662a06,,前調:葡萄柚、青蘋果、檸檬,中調:茉莉、梔子花、鈴蘭百合,後調:麝香、檀香
【Tonino Lamborghini 藍寶堅尼】紅牛能量男性淡香水$790臺中市大甲區找相似,https://shopee.tw//【Tonino-Lamborghini-藍寶堅尼】紅牛能量男性淡香水-i.3295116.6371713026?sp_atk=bb245e16-a1a6-42a9-b3f7-11d0a8bf5f95&xptdk=bb245e16-a1a6-42a9-b3f7-11d0a8bf5f95,,前味:檸檬、葡萄柚、青蘋果,中味:茉莉、栀子花、鈴蘭百合,後味:麝香、檀香
"TESTER香水💕💕 Lamborghini 藍寶堅尼 權威能量男性淡香水 125ml$1,088高雄市新興區找相似",https://shopee.tw//TESTER香水💕💕-Lamborghini-藍寶堅尼-權威能量男性淡香水-125ml-i.190487112.4334469596?sp_atk=37e8a166-47f6-4a8d-900b-33c5f1a5f4a7&xptdk=37e8a166-47f6-4a8d-900b-33c5f1a5f4a7,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌ToninoLamborghini性別男性香水濃度EDT、淡香水質地噴霧商品數量2出貨地高雄市新興區商品詳情前味:西西里檸檬、李子,中味:梔子花、紫羅蘭葉、絲滑木材,後味:香草、麝香、檀香
"廣告買一送一（正品免運）附提袋 Pour Homme Soir大吉嶺夜幽 極致 男士淡香水 男士香水 EDT滿額折$50$1,250 - $2,300已售出 34桃園市大園區找相似",https://shopee.tw//買一送一（正品免運）附提袋-Pour-Homme-Soir大吉嶺夜幽-極致-男士淡香水-男士香水-EDT-i.38534503.16642037566?sp_atk=8fffd7f5-84d7-40f6-933f-bf9f558db0be&xptdk=8fffd7f5-84d7-40f6-933f-bf9f558db0be,香調:木質馥奇香調,前味:大吉嶺茶、橙花油、佛手柑,中味:紫砂木、豆蔻,後味:植物琥珀、麝香
"4.4折廣告限時特價5天 免運 C中性淡香水 100ml 藍風鈴 英國梨 one be  男性香水 女性香水滿額贈$399 - $1,399已售出 30桃園市大園區找相似",https://shopee.tw//限時特價5天-免運-C中性淡香水-100ml-藍風鈴-英國梨-one-be-男性香水-女性香水-i.468245199.16765461949?sp_atk=65c414d4-8165-48c0-8f2c-37d231134bb4&xptdk=65c414d4-8165-48c0-8f2c-37d231134bb4,香調:柑苔果香調,前味:佛手柑、荳蔻、新鮮鳳梨、木瓜、檸檬,中味:茉莉花、鈴蘭、玫瑰、肉荳蔻、百合、鳶尾草,後味:麝香、琥珀、檀香、雪鬆、橡木苔
