title,link,search_term
"6.9折廣告🌟今日下單🌟 買一送一 蔚藍香水 香奈♥兒香水 現貨開箱錄影 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml滿額折$150$1,314 - $2,843已售出 26雲林縣虎尾鎮找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/🌟今日下單🌟-買一送一-蔚藍香水-香奈♥兒香水-現貨開箱錄影-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-i.22760576.18425787613?sp_atk=d06e2d8c-a81c-4157-b85e-d936311937cc&xptdk=d06e2d8c-a81c-4157-b85e-d936311937cc,AMOUAGE
"廣告全場免運 J’o Ma-lo ne 香 水 祖*馬 龍香水 櫻花新款 香水 小蒼蘭 藍風鈴 英國梨100ml滿額折$77$720 - $2,099已售出 31南投縣信義鄉找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/全場免運-J’o-Ma-lo-ne-香-水-祖*馬-龍香水-櫻花新款-香水-小蒼蘭-藍風鈴-英國梨100ml-i.28208577.19120056862?sp_atk=f6f0ad34-cb9a-4342-9562-baaf8f1e19b4&xptdk=f6f0ad34-cb9a-4342-9562-baaf8f1e19b4,AMOUAGE
"2.9折廣告❁買一送一❁ Le⭐Lab 實驗⭐室香水同款 31玫瑰 29紅茶 33檀香木 佛手柑 紅茶 10東京 淡香水100ml滿額折$200$1,557 - $1,653已售出 8雲林縣虎尾鎮找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/❁買一送一❁-Le⭐Lab-實驗⭐室香水同款-31玫瑰-29紅茶-33檀香木-佛手柑-紅茶-10東京-淡香水100ml-i.22760576.18725786272?sp_atk=1dbdcd08-ef13-4434-b0b9-d564e7f3c954&xptdk=1dbdcd08-ef13-4434-b0b9-d564e7f3c954,AMOUAGE
"廣告Di-or 迪奧 Sauvage Dior 曠野之心男士淡香水噴霧式 持久留香 狂野男士 淡香水100ML 送男友滿額折$77$1,099 - $2,200已售出 30南投縣信義鄉找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Di-or-迪奧-Sauvage-Dior-曠野之心男士淡香水噴霧式-持久留香-狂野男士-淡香水100ML-送男友-i.28208577.19222575742?sp_atk=36cdd044-2fe2-4d29-a150-d128b2411a68&xptdk=36cdd044-2fe2-4d29-a150-d128b2411a68,AMOUAGE
"7折廣告現貨 Diptyqu 蒂普-提克同款 香水 黑標 白標 75ml 100ml 夏日之光 檀道 無花果 肌膚之華 香水 香滿額折$150$1,988$1,392已售出 9雲林縣虎尾鎮找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/現貨-Diptyqu-蒂普-提克同款-香水-黑標-白標-75ml-100ml-夏日之光-檀道-無花果-肌膚之華-香水-香-i.22760576.19825785470?sp_atk=e7288bc4-41f1-4aa3-becf-b409c18470a7&xptdk=e7288bc4-41f1-4aa3-becf-b409c18470a7,AMOUAGE
Epic Woman Amouage 愛慕史詩$95 - $180已售出 28新北市林口區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Epic-Woman-Amouage-愛慕史詩-i.18700602.7566448817?sp_atk=db205512-c082-4999-8319-64669c75adeb&xptdk=db205512-c082-4999-8319-64669c75adeb,AMOUAGE
Journey Woman Amouage 愛慕香遇旅圖$95 - $180已售出 19新北市林口區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Journey-Woman-Amouage-愛慕香遇旅圖-i.18700602.7867301601?sp_atk=71a22c57-2987-4dca-8011-7e48de7c02aa&xptdk=71a22c57-2987-4dca-8011-7e48de7c02aa,AMOUAGE
Amouage Epic Woman愛慕史詩女 淡香精 分裝 試香 隨身瓶(1ml/2ml/3m）$90 - $399已售出 9臺中市沙鹿區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Amouage-Epic-Woman愛慕史詩女-淡香精-分裝-試香-隨身瓶(1ml-2ml-3m）-i.4954645.14000986910?sp_atk=e29f1583-9543-41ac-b711-f7a111cac4f5&xptdk=e29f1583-9543-41ac-b711-f7a111cac4f5,AMOUAGE
"阿拉伯頂級香氛 Amouage 愛慕 史詩 回憶錄 鏡中倒影 化蝶 紫丁香愛戀 間奏曲 淡香精100ml （T版 有瓶蓋$4,200臺中市北區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/阿拉伯頂級香氛-Amouage-愛慕-史詩-回憶錄-鏡中倒影-化蝶-紫丁香愛戀-間奏曲-淡香精100ml-（T版-有瓶蓋-i.11641050.21307598600?sp_atk=e8c7a7af-7e05-49a9-b196-7c49790745ef&xptdk=e8c7a7af-7e05-49a9-b196-7c49790745ef,AMOUAGE
愛慕香水 薔薇魅語淡香精男女試香 Amouage Lyric EDP 2ml$220高雄市前鎮區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/愛慕香水-薔薇魅語淡香精男女試香-Amouage-Lyric-EDP-2ml-i.6388524.19122165023?sp_atk=df7efddb-c0a5-488e-aa58-63442301bb4d&xptdk=df7efddb-c0a5-488e-aa58-63442301bb4d,AMOUAGE
