name,link
"6.1折廣告6.21限時下訂買一送一 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml  EDT EDP持久留香男禮物木質香2 件 5折$2,450$1,489已售出 37嘉義市西區找相似",https://shopee.tw//6.21限時下訂買一送一-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-EDT-EDP持久留香男禮物木質香-i.97576085.21310058821?sp_atk=3f6dba3d-6214-4ad3-a4f8-dc7150c93a8f&xptdk=3f6dba3d-6214-4ad3-a4f8-dc7150c93a8f
"4.5折廣告6.21限定下單買一送一 曠野之♥ SAUV♥AGE 香水香精100ml不正包退 EDT 男士香水 男香水淡香兩件五折2 件 5折$1,536 - $1,836嘉義市西區找相似",https://shopee.tw//6.21限定下單買一送一-曠野之♥-SAUV♥AGE-香水香精100ml不正包退-EDT-男士香水-男香水淡香兩件五折-i.97576085.21113768091?sp_atk=58f80be3-484f-42af-aa67-8d80042374c5&xptdk=58f80be3-484f-42af-aa67-8d80042374c5
"5.3折廣告6.21限定下單 買一送一GU-CCl香水 花悅繁花全系列 古-馳女士香水 花之舞 罪愛 繁花之水 綺夢梔子花100ml2 件 5折$1,680 - $1,960已售出 23嘉義市西區找相似",https://shopee.tw//6.21限定下單-買一送一GU-CCl香水-花悅繁花全系列-古-馳女士香水-花之舞-罪愛-繁花之水-綺夢梔子花100ml-i.97576085.21304495374?sp_atk=9f3f8509-337d-48c0-b0f3-e571a83477bc&xptdk=9f3f8509-337d-48c0-b0f3-e571a83477bc
"7.2折廣告七夕買一送一下單數量2等於原價 Sauvage 曠野之心男士淡香水噴霧式 持久留香 狂野男士 淡香水100ML 送男友9.2折2 件 5折$2,150$1,548已售出 22桃園市蘆竹區找相似",https://shopee.tw//七夕買一送一下單數量2等於原價-Sauvage-曠野之心男士淡香水噴霧式-持久留香-狂野男士-淡香水100ML-送男友-i.237120149.17364869396?sp_atk=dddbd0d6-5e34-4230-918a-ab4cdd12f49d&xptdk=dddbd0d6-5e34-4230-918a-ab4cdd12f49d
"2.7折廣告❁買一送一❁Miss 甜心小姐 EDT EDP 花漾甜心淡香水100ml 花樣香水 女性香水 女士香水2 件 5折$880 - $1,480已售出 10臺北市松山區找相似",https://shopee.tw//❁買一送一❁Miss-甜心小姐-EDT-EDP-花漾甜心淡香水100ml-花樣香水-女性香水-女士香水-i.97576140.10296130435?sp_atk=c2cb5dae-2f7e-4e01-9e5f-98333ca423c8&xptdk=c2cb5dae-2f7e-4e01-9e5f-98333ca423c8
"❤️愛妮❤️Mercedes Benz 賓士 Star 王者之星 男性淡香水 100ml(有雷射標籤)全新盒裝封膜$1,090已售出 875高雄市路竹區找相似",https://shopee.tw//❤️愛妮❤️Mercedes-Benz-賓士-Star-王者之星-男性淡香水-100ml(有雷射標籤)全新盒裝封膜-i.48341460.791304716?sp_atk=78e7346a-0f8a-4638-be6f-55113d8e6656&xptdk=78e7346a-0f8a-4638-be6f-55113d8e6656
"【This is Eddie】Mercedes Benz 賓士原廠/德國製造~香氛系統 香水/香氛瓶/芳香劑$2,750 - $4,150已售出 1,144南投縣草屯鎮找相似",https://shopee.tw//【This-is-Eddie】Mercedes-Benz-賓士原廠-德國製造~香氛系統-香水-香氛瓶-芳香劑-i.18334267.3713146681?sp_atk=2730e178-dfab-47a8-8ee8-985fc89315c2&xptdk=2730e178-dfab-47a8-8ee8-985fc89315c2
蝦皮優選現貨！正品公司貨！MercedesBenz賓士 淡香水 王者之星/帝耀非凡/爵色佳人/經典/極致經典/銀灰幻羽/輕晨曙光$289 - $325已售出 23臺中市北屯區找相似,https://shopee.tw//現貨！正品公司貨！MercedesBenz賓士-淡香水-王者之星-帝耀非凡-爵色佳人-經典-極致經典-銀灰幻羽-輕晨曙光-i.74996676.1315839930?sp_atk=39b01374-49f6-4cc8-8b4b-252526039261&xptdk=39b01374-49f6-4cc8-8b4b-252526039261
"3.2折Mercedes Benz Club系列 自由藍調 男性香水$1,090 - $1,980已售出 79新北市三重區找相似",https://shopee.tw//Mercedes-Benz-Club系列-自由藍調-男性香水-i.34779587.520580761?sp_atk=e3ced699-3b97-433a-b7ea-43847462ef3a&xptdk=e3ced699-3b97-433a-b7ea-43847462ef3a
"5折Mercedes Benz 賓士 男性香水禮盒[王者之星/紳藍爵士/私人定製/輝煌之星](5mlX4)-國際航空版滿額折$30$1,980$999已售出 32苗栗縣後龍鎮找相似",https://shopee.tw//Mercedes-Benz-賓士-男性香水禮盒-王者之星-紳藍爵士-私人定製-輝煌之星-(5mlX4)-國際航空版-i.10594066.5789932421?sp_atk=21e7d0ad-3a72-4b83-9668-e9ef13472b93&xptdk=21e7d0ad-3a72-4b83-9668-e9ef13472b93
"公司貨正品賓士絕版香 自由藍調 /湛藍之星50ml香水$1,050 - $1,350已售出 25桃園市中壢區找相似",https://shopee.tw//公司貨正品賓士絕版香-自由藍調-湛藍之星50ml香水-i.3987368.14670838974?sp_atk=b5308a13-c981-4ecf-ae68-629e1ca33b54&xptdk=b5308a13-c981-4ecf-ae68-629e1ca33b54
"4.7折賓士Man Bright 銀霧冰泉 上市優惠組合 (香水100ml+星耀藍分裝瓶)$4,250$1,990已售出 28新北市三重區找相似",https://shopee.tw//賓士Man-Bright-銀霧冰泉-上市優惠組合-(香水100ml-星耀藍分裝瓶)-i.34779587.11442601153?sp_atk=2f6ebef8-f388-4153-a36a-e97c4180ef1c&xptdk=2f6ebef8-f388-4153-a36a-e97c4180ef1c
Mercedes-Benz 清晨曙光香水 25ml/40ml/75ml$850已售出 6桃園市中壢區找相似,https://shopee.tw//Mercedes-Benz-清晨曙光香水-25ml-40ml-75ml-i.3987368.6290589979?sp_atk=de02dd15-6a83-4c8f-af56-4d5a863eed32&xptdk=de02dd15-6a83-4c8f-af56-4d5a863eed32
"5.7折Mercedes Benz 賓士 王者之星 男性淡香水 100ml / 200ml〔10點半香水美妝〕$4,000$2,280已售出 20臺中市西區找相似",https://shopee.tw//Mercedes-Benz-賓士-王者之星-男性淡香水-100ml-200ml〔10點半香水美妝〕-i.54574900.2873418323?sp_atk=ad5f4ce5-9a28-4330-91a7-dc1654558f42&xptdk=ad5f4ce5-9a28-4330-91a7-dc1654558f42
【超激敗】Mercedes Benz 賓士 王者之星 男性淡香水 TESTER 100ML$939已售出 142臺北市大同區找相似,https://shopee.tw//【超激敗】Mercedes-Benz-賓士-王者之星-男性淡香水-TESTER-100ML-i.4884871.1616604878?sp_atk=3c0a9281-938e-48bc-93da-060235af3e7c&xptdk=3c0a9281-938e-48bc-93da-060235af3e7c
