title,link,search_term
"8折廣告【THE BODY SHOP】綠麝香晨露淡雅香水-30ML 香水 女香 麝香 清新8.5折$1,080$864已售出 325桃園市蘆竹區找相似",https://shopee.tw/【THE-BODY-SHOP】綠麝香晨露淡雅香水-30ML-香水-女香-麝香-清新-i.31202234.1533654808?sp_atk=fcdb6115-f615-4d9d-b82e-4557f3f24d85&xptdk=fcdb6115-f615-4d9d-b82e-4557f3f24d85,THE BODY SHOP
"3.3折廣告❁買一送一❁Miss 甜心小姐 EDT EDP 花漾甜心淡香水100ml 花樣香水 女性香水 女士香水2 件 5折$1,098 - $1,480已售出 164臺北市松山區找相似",https://shopee.tw/❁買一送一❁Miss-甜心小姐-EDT-EDP-花漾甜心淡香水100ml-花樣香水-女性香水-女士香水-i.97576140.10296130435?sp_atk=5a7fddc9-c5a9-4c83-bc1c-367a645413aa&xptdk=5a7fddc9-c5a9-4c83-bc1c-367a645413aa,THE BODY SHOP
"6.9折廣告🌟今日下單🌟 買一送一 蔚藍香水 香奈♥兒香水 現貨開箱錄影 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml滿額折$150$1,314 - $2,843已售出 26雲林縣虎尾鎮找相似",https://shopee.tw/🌟今日下單🌟-買一送一-蔚藍香水-香奈♥兒香水-現貨開箱錄影-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-i.22760576.18425787613?sp_atk=53b22990-02d8-4911-b006-8cdc42f83b22&xptdk=53b22990-02d8-4911-b006-8cdc42f83b22,THE BODY SHOP
"4.1折廣告❁買一送一❁粉色甜蜜 邂逅香水系列50/100ml 綠色氣息 晨光輕舞 正貨 女性香水 專櫃代購 不正包退2 件 5折$1,098 - $1,480已售出 78臺北市松山區找相似",https://shopee.tw/❁買一送一❁粉色甜蜜-邂逅香水系列50-100ml-綠色氣息-晨光輕舞-正貨-女性香水-專櫃代購-不正包退-i.97576140.21509215000?sp_atk=da5ba14d-c6e2-428d-a300-9ac01e5040b3&xptdk=da5ba14d-c6e2-428d-a300-9ac01e5040b3,THE BODY SHOP
"5.8折廣告❁買一送一❁Mo'schino Toy Boy 熊芯未泯2 小熊香水 泰迪熊男性香水 女性淡香水 莫斯奇諾香水 情侶香水2 件 5折$2,380$1,389已售出 18臺北市松山區找相似",https://shopee.tw/❁買一送一❁Mo'schino-Toy-Boy-熊芯未泯2-小熊香水-泰迪熊男性香水-女性淡香水-莫斯奇諾香水-情侶香水-i.97576140.19912503665?sp_atk=4a73a50f-dc0d-4d22-9d08-333cbba10568&xptdk=4a73a50f-dc0d-4d22-9d08-333cbba10568,THE BODY SHOP
"美體小舖 舊版專區 白麝香身體噴霧 沐浴露 身體 乳液 舊款 香水  The body shop$895 - $3,295已售出 331臺北市中山區找相似",https://shopee.tw/美體小舖-舊版專區-白麝香身體噴霧-沐浴露-身體-乳液-舊款-香水-The-body-shop-i.25660778.1088781636?sp_atk=af5f93e3-f46a-4c47-b82d-7305c6104453&xptdk=af5f93e3-f46a-4c47-b82d-7305c6104453,THE BODY SHOP
現貨✨The Body Shop 香草 淡雅香水 EDT 乳油木果 草莓 辣木籽 香草 30ml$480 - $750已售出 216新北市中和區找相似,https://shopee.tw/現貨✨The-Body-Shop-香草-淡雅香水-EDT-乳油木果-草莓-辣木籽-香草-30ml-i.4312356.1422983501?sp_atk=63f07ed9-9dc7-413d-8331-2b0ba5409f8e&xptdk=63f07ed9-9dc7-413d-8331-2b0ba5409f8e,THE BODY SHOP
【寶兒美妝】~100ml~ The Body Shop 綠麝香晨露淡雅香水 (有效期 2023/02)$980已售出 334臺北市松山區找相似,https://shopee.tw/【寶兒美妝】~100ml~-The-Body-Shop-綠麝香晨露淡雅香水-(有效期-2023-02)-i.34835632.1078808200?sp_atk=eeeefd30-243a-4228-a084-923413f47f84&xptdk=eeeefd30-243a-4228-a084-923413f47f84,THE BODY SHOP
The body shop 玫瑰香水-100ML$970嘉義縣民雄鄉找相似,https://shopee.tw/The-body-shop-玫瑰香水-100ML-i.452227204.14749364652?sp_atk=93b528b8-98bc-4d47-80e0-d6928aee76f1&xptdk=93b528b8-98bc-4d47-80e0-d6928aee76f1,THE BODY SHOP
"[即期特價] 美體小舖 白麝香 身體乳液 沐浴露 身體噴霧 香水 the body shop$595 - $2,495已售出 234臺北市中山區找相似",https://shopee.tw/-即期特價-美體小舖-白麝香-身體乳液-沐浴露-身體噴霧-香水-the-body-shop-i.25660778.2021157666?sp_atk=f4cd8cd3-829e-43f2-8769-3316fed1b67f&xptdk=f4cd8cd3-829e-43f2-8769-3316fed1b67f,THE BODY SHOP
