name,link
"廣告正品保證 Calvin Klein CK 內衣 有內襯 內褲 交叉美背 運動內衣 夜店 外拍 內衣2 件 NT$818$475 - $480已售出 5,626新北市林口區找相似",https://shopee.tw//正品保證-Calvin-Klein-CK-內衣-有內襯-內褲-交叉美背-運動內衣-夜店-外拍-內衣-i.654347815.10595841339?sp_atk=6b1c1909-4333-41d6-9726-01876c2cbec8&xptdk=6b1c1909-4333-41d6-9726-01876c2cbec8
"8.3折廣告CKi成套内衣褲 小c內衣 文胸 內衣 帶胸墊 無鋼圈 cik內褲 時尚 性感內衣 女生內衣 C Klein滿額折$10$599$498已售出 2,993找相似",https://shopee.tw//CKi成套内衣褲-小c內衣-文胸-內衣-帶胸墊-無鋼圈-cik內褲-時尚-性感內衣-女生內衣-C-Klein-i.528684403.13320299632?sp_atk=15c73d65-b6b5-4732-93e6-8437c68d6b4a&xptdk=15c73d65-b6b5-4732-93e6-8437c68d6b4a
5.6折廣告🔥限時買三送一現貨速發 奧特萊斯 Costco代購 正品CK内褲 純棉内褲 四角褲 男士內褲 男士經典內褲 平口褲4 件折 NT$168$300$168已售出 122臺北市文山區找相似,https://shopee.tw//🔥限時買三送一現貨速發-奧特萊斯-Costco代購-正品CK内褲-純棉内褲-四角褲-男士內褲-男士經典內褲-平口褲-i.4976769.16459169977?sp_atk=607c3507-03e5-45e7-bd43-17fb77721f0c&xptdk=607c3507-03e5-45e7-bd43-17fb77721f0c
"5.4折廣告Calvin Klein CK女生內褲  內衣套裝 一盒三入 舒適三角褲 纯棉內褲 比基尼內褲加價購$168 - $488已售出 2,276臺北市中山區找相似",https://shopee.tw//Calvin-Klein-CK女生內褲-內衣套裝-一盒三入-舒適三角褲-纯棉內褲-比基尼內褲-i.222384421.8164525330?sp_atk=f7ab6ed3-da9e-4a67-8ade-08b64774b882&xptdk=f7ab6ed3-da9e-4a67-8ade-08b64774b882
1.4折廣告Ck Calvin Klein 襯墊款 內衣+三角內褲 純棉無鋼 運動內衣套裝 性感 辣妹內衣 成套內衣褲 聚攏 健身$168 - $488已售出 481臺北市中山區找相似,https://shopee.tw//Ck-Calvin-Klein-襯墊款-內衣-三角內褲-純棉無鋼-運動內衣套裝-性感-辣妹內衣-成套內衣褲-聚攏-健身-i.222384421.16535351607?sp_atk=f5b34ed7-3073-47cd-b0ea-3dafeda699e5&xptdk=f5b34ed7-3073-47cd-b0ea-3dafeda699e5
蝦皮優選【父親節香氛】Calvin Klein CK free 自由男香 淡香水 50ml 七夕 情人節 生日 聖誕節交換禮物多件優惠$550已售出 12臺北市大安區找相似,https://shopee.tw//【父親節香氛】Calvin-Klein-CK-free-自由男香-淡香水-50ml-七夕-情人節-生日-聖誕節交換禮物-i.444142819.16031579271?sp_atk=3bfa44aa-5cbf-4c51-8e44-bd44f390c626&xptdk=3bfa44aa-5cbf-4c51-8e44-bd44f390c626
蝦皮優選發票價  到貨 Calvin Klein ck free 男性淡香水 100ml 另有 TESTER☆櫥窗小姐☆$649 - $799已售出 706新北市新莊區找相似,https://shopee.tw//發票價-到貨-Calvin-Klein-ck-free-男性淡香水-100ml-另有-TESTER☆櫥窗小姐☆-i.362777.11652873?sp_atk=ce42709c-83df-4725-be9f-df92d1193988&xptdk=ce42709c-83df-4725-be9f-df92d1193988
◆NANA◆Calvin Klein cK Free 男淡香 100ml TESTER$619已售出 75臺北市大同區找相似,https://shopee.tw//◆NANA◆Calvin-Klein-cK-Free-男淡香-100ml-TESTER-i.357737.115289839?sp_atk=38772c3a-52e9-44f2-9557-d58701c3ce95&xptdk=38772c3a-52e9-44f2-9557-d58701c3ce95
"3.5折Calvin Klein CK Free For Men 男性淡香水 50ML 廠商直送9.3折$2,000$699已售出 1桃園市楊梅區找相似",https://shopee.tw//Calvin-Klein-CK-Free-For-Men-男性淡香水-50ML-廠商直送-i.116304162.16136284674?sp_atk=a6b5f1be-913c-4d4d-a2a4-eafa281f9f10&xptdk=a6b5f1be-913c-4d4d-a2a4-eafa281f9f10
【艾莉❤美妝小鋪】Calvin Klein 卡文克萊CK free 男性體香膏75g 全新商品   304-713$379已售出 28臺北市中正區找相似,https://shopee.tw//【艾莉❤美妝小鋪】Calvin-Klein-卡文克萊CK-free-男性體香膏75g-全新商品-304-713-i.2298919.5045429?sp_atk=305dc70d-d089-4e78-92aa-194f87ff5f3e&xptdk=305dc70d-d089-4e78-92aa-194f87ff5f3e
蝦皮優選香親香愛～Calvin Klein cK Free 男香 100ml$368 - $758已售出 100臺北市大同區找相似,https://shopee.tw//香親香愛～Calvin-Klein-cK-Free-男香-100ml-i.1285345.30996712?sp_atk=11516a03-305b-4912-8985-269e36b1f532&xptdk=11516a03-305b-4912-8985-269e36b1f532
