title,link,search_term
廣告Terre’D經典魅力香水 大地男士香水  中性香水 大地男性淡香水 大地香水 100ml滿額折$77$970已售出 44新竹市香山區找相似,https://shopee.tw/Terre’D經典魅力香水-大地男士香水-中性香水-大地男性淡香水-大地香水-100ml-i.28208543.18218359529?sp_atk=2d465976-fcee-4e40-bf1b-79f118ceafb1&xptdk=2d465976-fcee-4e40-bf1b-79f118ceafb1,Hermes
"4.5折廣告🌟今日下單🌟  買一送一 大地男士香水 50/100ml不正包退 現貨 正貨 男性淡香水 支持驗貨 兩件五折2 件 5折$1,368 - $1,758已售出 46新北市金山區找相似",https://shopee.tw/🌟今日下單🌟-買一送一-大地男士香水-50-100ml不正包退-現貨-正貨-男性淡香水-支持驗貨-兩件五折-i.97613321.10795203423?sp_atk=05c3906b-eb22-4a4b-b633-f749b47a194d&xptdk=05c3906b-eb22-4a4b-b633-f749b47a194d,Hermes
"4.8折廣告💋買一送一💋Herm❁es 大地香水 尼羅河花園 愛馬❁仕 李先生的花園 地中海花園 橘采星光 藍色星光 屋頂花園 絲巾2 件 5折$1,568 - $1,738已售出 25新北市石門區找相似",https://shopee.tw/💋買一送一💋Herm❁es-大地香水-尼羅河花園-愛馬❁仕-李先生的花園-地中海花園-橘采星光-藍色星光-屋頂花園-絲巾-i.97578126.17473645179?sp_atk=a2f0f8e8-a9c1-4e41-b970-60003667418f&xptdk=a2f0f8e8-a9c1-4e41-b970-60003667418f,Hermes
"廣告【8H內出貨 】 HERMES 愛馬仕大地-男性淡香水 成熟穩重 獨特木質清新調 馥郁香根草 樹木香調  香水100ml滿額折$60$1,130已售出 147新北市三峽區找相似",https://shopee.tw/【8H內出貨-】-HERMES-愛馬仕大地-男性淡香水-成熟穩重-獨特木質清新調-馥郁香根草-樹木香調-香水100ml-i.799333345.17678394153?sp_atk=254e181b-1d0c-40f0-8e5b-20b2572e859f&xptdk=254e181b-1d0c-40f0-8e5b-20b2572e859f,Hermes
"4.4折廣告🌟今日下單🌟 買一送一 Twilly d' 50/85ml不正包退 現貨正貨 女性淡香水 支持驗貨 兩瓶五折2 件 5折$1,388 - $1,698已售出 1新北市金山區找相似",https://shopee.tw/🌟今日下單🌟-買一送一-Twilly-d'-50-85ml不正包退-現貨正貨-女性淡香水-支持驗貨-兩瓶五折-i.97613321.18901690599?sp_atk=ba259e77-b894-4e73-8762-29665a2380f9&xptdk=ba259e77-b894-4e73-8762-29665a2380f9,Hermes
（現貨）拆售HERMES 愛馬仕 花園系列香水15ml-❤️附品牌套$750已售出 23臺中市北屯區找相似,https://shopee.tw/（現貨）拆售HERMES-愛馬仕-花園系列香水15ml-❤️附品牌套-i.4069560.12985082980?sp_atk=f879d9b0-f3d7-456a-814a-9b20cfdb8f15&xptdk=f879d9b0-f3d7-456a-814a-9b20cfdb8f15,Hermes
"5.7折HERMES愛馬仕小香禮盒四入組[絲巾+尼羅河花園+橘彩星光+緋紅火參](7.5mlX4)-香水航空版 現貨 廠商直送滿額折$220$3,850$2,198已售出 2桃園市楊梅區找相似",https://shopee.tw/HERMES愛馬仕小香禮盒四入組-絲巾-尼羅河花園-橘彩星光-緋紅火參-(7.5mlX4)-香水航空版-現貨-廠商直送-i.116304162.20901490985?sp_atk=1a9aff58-3863-4ec3-9d93-a15de11a64c1&xptdk=1a9aff58-3863-4ec3-9d93-a15de11a64c1,Hermes
"蝦皮優選【Hermes】愛馬仕Hermes 花園系列 李先生的花園 尼羅河花園 屋頂花園 地中海花園 卡片 愛馬仕花果調$70已售出 2,324臺中市北區找相似",https://shopee.tw/【Hermes】愛馬仕Hermes-花園系列-李先生的花園-尼羅河花園-屋頂花園-地中海花園-卡片-愛馬仕花果調-i.5539906.5255595431?sp_atk=653e8620-82e6-4eb5-9d31-35e05e886277&xptdk=653e8620-82e6-4eb5-9d31-35e05e886277,Hermes
"蝦皮優選HermesTerre D'Hermes 愛馬仕大地男性淡香水 玻璃分享噴瓶 1ML 2ML 5ML加價購$40 - $160已售出 3,531彰化縣彰化市找相似",https://shopee.tw/HermesTerre-D'Hermes-愛馬仕大地男性淡香水-玻璃分享噴瓶-1ML-2ML-5ML-i.13057848.4605097668?sp_atk=7a588dd3-a7cb-444f-a162-65d5ced616f6&xptdk=7a588dd3-a7cb-444f-a162-65d5ced616f6,Hermes
"預購🐘美國正品🇺🇸HERMES 愛馬仕 經典香水禮盒 香水禮盒 四入 7.5ml加價購$2,190已售出 224臺南市安南區找相似",https://shopee.tw/預購🐘美國正品🇺🇸HERMES-愛馬仕-經典香水禮盒-香水禮盒-四入-7.5ml-i.2373577.3885577521?sp_atk=dd7a5836-6e8c-49b3-9f53-3b105e4eeb79&xptdk=dd7a5836-6e8c-49b3-9f53-3b105e4eeb79,Hermes
