title,link,note,top_note,heart_note,base_note
"愛妮❤️John Varvatos Artisan Pure 工匠純淨 男性淡香水75ml /125ml /TESTER$940 - $1,175已售出 427高雄市路竹區找相似",https://shopee.tw//愛妮❤️John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水75ml-125ml-TESTER-i.48341460.1154662737?sp_atk=0aef792b-dc0f-4303-8a1f-be772e0e7065&xptdk=0aef792b-dc0f-4303-8a1f-be772e0e7065,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量172出貨地高雄市路竹區商品詳情前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"HUAHUA香水美妝 John Varvatos Artisan 工匠藤編男性淡香水 125ML【全新正品】$899 - $1,180已售出 213臺北市中山區找相似",https://shopee.tw//HUAHUA香水美妝-John-Varvatos-Artisan-工匠藤編男性淡香水-125ML【全新正品】-i.935762.264171914?sp_atk=891924b8-6198-40e8-aaad-fe7fb82a2989&xptdk=891924b8-6198-40e8-aaad-fe7fb82a2989,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量11出貨地臺北市中山區商品詳情香調:柑橘芳香調,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
HUAHUA香水美妝 John Varvatos Artisan Pure 工匠純淨 男性淡香水125ml 『全新正品』$990已售出 20臺北市中山區找相似,https://shopee.tw//HUAHUA香水美妝-John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水125ml-『全新正品』-i.935762.7383275602?sp_atk=e9b56a2b-8d95-48fd-9f52-69cc0a236e77&xptdk=e9b56a2b-8d95-48fd-9f52-69cc0a236e77,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量5出貨地臺北市中山區商品詳情前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"蝦皮優選香親香愛～John Varvatos 工匠藤編 純淨男性淡香水 125/75ml, Artisan Pure$998 - $1,258已售出 206臺北市大同區找相似",https://shopee.tw//香親香愛～John-Varvatos-工匠藤編-純淨男性淡香水-125-75ml-Artisan-Pure-i.1285345.1018100842?sp_atk=4a0de6b9-8209-4e37-b507-d49c6ee4eb94&xptdk=4a0de6b9-8209-4e37-b507-d49c6ee4eb94,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量4出貨地臺北市大同區商品詳情香調:木質清新調,"前味:西班牙檸檬,晚侖夏橙,佛手柑,苦橙葉","中味:橙子花,咖啡樹花,茉莉花,鳶尾草,香菜子,小豆蔻","後味:雪松,白桃花心木,白芷,麝香黃葵籽,香豆"
"3.5折John Varvatos Artisan Pure 工匠純淨男性淡香水(75ml / 125ml)-公司貨【美麗購】滿額折$30$1,199 - $1,398已售出 11苗栗縣後龍鎮找相似",https://shopee.tw//John-Varvatos-Artisan-Pure-工匠純淨男性淡香水(75ml-125ml)-公司貨【美麗購】-i.10594066.8514244946?sp_atk=e73a4d46-76c4-417a-9618-ce1191340ea3&xptdk=e73a4d46-76c4-417a-9618-ce1191340ea3,,前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"《尋香小站 》John Varvatos Platinum 白金限量版淡香水 125 ml TESTER包裝$1,480已售出 3新北市三重區找相似",https://shopee.tw//《尋香小站-》John-Varvatos-Platinum-白金限量版淡香水-125-ml-TESTER包裝-i.6261367.1288250221?sp_atk=a570d0c8-4692-44e7-acd0-1fca7cea0170&xptdk=a570d0c8-4692-44e7-acd0-1fca7cea0170,,前味:佛手柑、錫蘭肉桂、鼠尾草、胡荽籽、桃金娘葉,中味:獨家廣藿香、岩蘭草香氣,後味:琥珀、柑橘松香、非洲白檀木
"蝦皮優選香妮💋John Varvatos Artisan 工匠藤編 Blu 藍 男香 75ml/ 125ml /【TESTER】$950 - $1,130已售出 32高雄市路竹區找相似",https://shopee.tw//香妮💋John-Varvatos-Artisan-工匠藤編-Blu-藍-男香-75ml-125ml-【TESTER】-i.131326797.2688439165?sp_atk=dff5de40-ddac-466b-8d8f-2445a78f75cd&xptdk=dff5de40-ddac-466b-8d8f-2445a78f75cd,,商品規格分類蝦皮購物美妝保養香水、香氛品牌johnvarvatos性別男性質地噴霧商品數量252出貨地高雄市路竹區商品詳情前味:佛手柑、苦橙、薰衣草、羅勒葉,中味:鼠尾草、佛羅倫斯鳶尾花、橙花,後味:開心果樹
《尋香小站 》John Varvatos Artisan 工匠藤編男性淡香水 125ml TESTER包裝$990已售出 4新北市三重區找相似,https://shopee.tw//《尋香小站-》John-Varvatos-Artisan-工匠藤編男性淡香水-125ml-TESTER包裝-i.6261367.1322796008?sp_atk=064d28e7-87aa-4257-bcb8-d9bf98df5808&xptdk=064d28e7-87aa-4257-bcb8-d9bf98df5808,香調:柑橘芳香調,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
"沒有名字的香水店? John Varvatos Artisan Pure 工匠藤編 純淨 男性淡香水 125ML$1,199已售出 6臺北市大同區找相似",https://shopee.tw//沒有名字的香水店-John-Varvatos-Artisan-Pure-工匠藤編-純淨-男性淡香水-125ML-i.74027495.1802257951?sp_atk=b2a06f3c-9f46-46f5-aef3-378015876be6&xptdk=b2a06f3c-9f46-46f5-aef3-378015876be6,,前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"愛妮❤️John Varvatos Artisan Blu 工匠藤編 藍 男性淡香水75ml /125ml/TESTER$950 - $1,130已售出 14高雄市路竹區找相似",https://shopee.tw//愛妮❤️John-Varvatos-Artisan-Blu-工匠藤編-藍-男性淡香水75ml-125ml-TESTER-i.48341460.997537813?sp_atk=9206cf28-ec19-4bbd-81f5-8f08a513bf21&xptdk=9206cf28-ec19-4bbd-81f5-8f08a513bf21,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量367出貨地高雄市路竹區商品詳情前味:佛手柑、苦橙、新鮮薰衣草橙、柑橘味、羅勒葉,中味:法國鼠尾草、佛羅倫斯鳶尾花、橙花,後味:木質調的開心果樹
