title,link,search_term,note,top_note,heart_note,base_note
"蝦皮優選香親香愛～MIU MIU 春日花園女性淡香精 100ml TESTER, L'Eau Bleue$2,288已售出 59臺北市大同區找相似",https://shopee.tw/香親香愛～MIU-MIU-春日花園女性淡香精-100ml-TESTER-L'Eau-Bleue-i.1285345.152250830?sp_atk=f081d5da-a706-4885-93ab-7c60468c7a0a&xptdk=f081d5da-a706-4885-93ab-7c60468c7a0a,MIU MIU,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌miumiu性別女性質地噴霧商品數量1出貨地臺北市大同區商品詳情前味:鈴蘭,"中味:白色花朵,晨露,綠色元素","後味:akigalawood(香辛花香木質調)廣藿香,胡椒,沉香木"
分享香 MIU MIU 花園綺想/繆思女神/春日花園 女性淡香精5ml. 10ml 分裝瓶$140 - $300已售出 14雲林縣西螺鎮找相似,https://shopee.tw/分享香-MIU-MIU-花園綺想-繆思女神-春日花園-女性淡香精5ml.-10ml-分裝瓶-i.55848018.12781638102?sp_atk=0a916668-6497-40ef-9b64-ab57371cf8ea&xptdk=0a916668-6497-40ef-9b64-ab57371cf8ea,MIU MIU,香調:草香清新調、花香清新調,前味:鈴蘭、朝露,中味:忍冬花,後味:Akigala木、木質香味
Miu Miu L’Eau Bleue 春日花園女性淡香精  試香$55 - $140已售出 85桃園市龜山區找相似,https://shopee.tw/Miu-Miu-L’Eau-Bleue-春日花園女性淡香精-試香-i.5558081.3252383060?sp_atk=33111203-b0b3-4d61-abd4-752a95a42812&xptdk=33111203-b0b3-4d61-abd4-752a95a42812,MIU MIU,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精商品保存狀況二手品牌miumiu性別女性質地噴霧商品數量19出貨地桃園市龜山區商品詳情香調:草香清新調、花香調,前味:鈴蘭、朝露,中味:忍冬花,後味:Akigala木
專櫃購入 MIU MIU L'EAU ROSÉE 淡香水50ml  miu miu香水$860臺中市西區找相似,https://shopee.tw/專櫃購入-MIU-MIU-L'EAU-ROSÉE-淡香水50ml-miu-miu香水-i.14213095.13739214387?sp_atk=0e6404e7-cbad-488f-8359-229f1d9d28b1&xptdk=0e6404e7-cbad-488f-8359-229f1d9d28b1,MIU MIU,,前調:黑醋栗,中調:百合,後調:麝香
蝦皮優選~歐巴&歐尼~MIU MIU  春日花園淡香精 7.5ml 沾式小香$699已售出 105新北市三重區找相似,https://shopee.tw/~歐巴-歐尼~MIU-MIU-春日花園淡香精-7.5ml-沾式小香-i.7520398.2883335269?sp_atk=f90315eb-f22f-439a-b2f3-5bd528b7324b&xptdk=f90315eb-f22f-439a-b2f3-5bd528b7324b,MIU MIU,商品規格分類蝦皮購物美妝保健香水、香氛精油、試管小香與其他質地其他商品數量1出貨地新北市三重區商品詳情香調:草香清新調、花香調,前味:鈴蘭、朝露,中味:忍冬花,後味:Akigala木
❤舞香水❤ MIU MIU 春日花園 女性淡香精 1ml沾式 2ml / 5ml噴式分享試管$55 - $180已售出 404臺北市北投區找相似,https://shopee.tw/❤舞香水❤-MIU-MIU-春日花園-女性淡香精-1ml沾式-2ml-5ml噴式分享試管-i.31997113.7715703483?sp_atk=5f579e37-3784-4d32-8b30-145214b2d07f&xptdk=5f579e37-3784-4d32-8b30-145214b2d07f,MIU MIU,香調:草香清新調、花香清新調,前味:鈴蘭、朝露,中味:忍冬花,後味:Akigala木、木質香味
"蝦皮優選miu miu L’Eau Bleue 春日花園女性淡香精30ml/50ml/100ml ★專櫃公司貨$1,480 - $2,495已售出 41宜蘭縣羅東鎮找相似",https://shopee.tw/miu-miu-L’Eau-Bleue-春日花園女性淡香精30ml-50ml-100ml-★專櫃公司貨-i.40924294.2933967997?sp_atk=6ebcd29c-f7ba-4414-b3ab-e128b2a4e26e&xptdk=6ebcd29c-f7ba-4414-b3ab-e128b2a4e26e,MIU MIU,香調:草香清新調、花香調,前味:鈴蘭、朝露,中味:忍冬花,後味:Akigala木
🇮🇹 miu miu L'eau Rosee 粉色嬉遊女性淡香水#1.2ml)歐洲專櫃原裝$115已售出 125臺中市南屯區找相似,https://shopee.tw/🇮🇹-miu-miu-L'eau-Rosee-粉色嬉遊女性淡香水-1.2ml)歐洲專櫃原裝-i.1754186.945000635?sp_atk=52be7797-46d9-403b-8010-4de16bb7c12c&xptdk=52be7797-46d9-403b-8010-4de16bb7c12c,MIU MIU,💗香調:草香清新調、花果清新調,💗前味:黑醋栗芽,💗中味:鈴蘭,💗後味:Agikala木、麝香
Miu miu繆斯女神女性淡香精7.5 ml 全新$309已售出 18高雄市鹽埕區找相似,https://shopee.tw/Miu-miu繆斯女神女性淡香精7.5-ml-全新-i.412345.1884091273?sp_atk=f792d171-b9ea-4a05-b428-6e089d5460f3&xptdk=f792d171-b9ea-4a05-b428-6e089d5460f3,MIU MIU,,前味:晚香玉精粹、茉莉,中味:橙花精粹、麝香,後味:Akigla木
"現貨：MIU MIU 粉色嬉遊 女性淡香水 100MLT包$1,680宜蘭縣羅東鎮找相似",https://shopee.tw/現貨：MIU-MIU-粉色嬉遊-女性淡香水-100MLT包-i.6316904.9435616204?sp_atk=1fe29e19-d820-40cc-96d4-009083cd0beb&xptdk=1fe29e19-d820-40cc-96d4-009083cd0beb,MIU MIU,,前味:黑醋栗芽,中味:鈴蘭,後味:Agikala木、麝香
蝦皮優選Miu Miu 繆斯女神/春日花園 繆繆 女性淡香精 沾式小香  7.5ml$350已售出 29宜蘭縣羅東鎮找相似,https://shopee.tw/Miu-Miu-繆斯女神-春日花園-繆繆-女性淡香精-沾式小香-7.5ml-i.40924294.6526492637?sp_atk=bb065e77-8bc0-452e-84e6-e15577ffae1e&xptdk=bb065e77-8bc0-452e-84e6-e15577ffae1e,MIU MIU,香調:草香清新調、花果清新調,前味:黑醋栗芽,中味:鈴蘭,後味:Agikala木、麝香
"5.1折miu miu 玩轉女孩淡香水 50ML 現貨 廠商直送滿額折$220$3,300$1,699桃園市楊梅區找相似",https://shopee.tw/miu-miu-玩轉女孩淡香水-50ML-現貨-廠商直送-i.116304162.17568721983?sp_atk=604c99cf-828e-4ab9-9f3d-67d5834bac47&xptdk=604c99cf-828e-4ab9-9f3d-67d5834bac47,MIU MIU,,前調:柑橘、蘋果花蜜,中調:白色琥珀、零陵稜香豆,後調:零雪松木
"❤️MIU MIU繆斯女神女性淡香精 30ML 香精 香水 女香$1,099高雄市鳳山區找相似",https://shopee.tw/❤️MIU-MIU繆斯女神女性淡香精-30ML-香精-香水-女香-i.3377801.10909938440?sp_atk=63bdf9dc-7b31-41f8-97d9-40499751282b&xptdk=63bdf9dc-7b31-41f8-97d9-40499751282b,MIU MIU,,🌼前味:鈴蘭、佛手柑、檸檬,🌼中味:茉莉、玫瑰精油、草香調、黑醋栗、桃子,🌼後味:木質辛香、麝香
廣告RE 調香室 | 迷你香水組合 2ml x 10 Mini Perfumes Collection8.8折2 件 8.8折$890已售出 27臺北市南港區找相似,https://shopee.tw/RE-調香室-迷你香水組合-2ml-x-10-Mini-Perfumes-Collection-i.608017325.10585111316?sp_atk=d10bb2db-e77b-4360-bf0f-908242f03ad5&xptdk=d10bb2db-e77b-4360-bf0f-908242f03ad5,MIU MIU,,前調:香檸檬、桃子,中調:綠茶、荷花,後調:麝香
"9折廣告買一送一（正品免運）真我純香心悅 Jadore In Joy 女士淡香水 EDP淡香水 100ML$1,305 - $2,430已售出 73桃園市大園區找相似",https://shopee.tw/買一送一（正品免運）真我純香心悅-Jadore-In-Joy-女士淡香水-EDP淡香水-100ML-i.38534503.15271677846?sp_atk=fb714f43-db03-4f5d-805b-5de96a80d38e&xptdk=fb714f43-db03-4f5d-805b-5de96a80d38e,MIU MIU,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別女性香水濃度EDT、淡香水質地噴霧商品數量214出貨地桃園市大園區商品詳情香調:花香調,前調:柑橘橘子橙花油,中調:茉莉橙花依蘭晚香玉玫瑰,後調:木質香香草
波妮香水♥ Miu Miu 粉色嬉遊 女性淡香水 7.5ml 小香$360已售出 18新北市新店區找相似,https://shopee.tw/波妮香水♥-Miu-Miu-粉色嬉遊-女性淡香水-7.5ml-小香-i.81930378.1764347542?sp_atk=1336e8a5-2a17-429a-8291-155f08933cf8&xptdk=1336e8a5-2a17-429a-8291-155f08933cf8,MIU MIU,,商品規格分類蝦皮購物美妝保養香水、香氛品牌miumiu性別女性香水濃度EDT、淡香水商品數量32出貨地新北市新店區商品詳情前味:黑醋栗芽,中味:鈴蘭,後味:麝香
盧亞公司貨 MIU MIU TWIST 玩轉女孩 女性淡香水 / 小香水 5ml$550新北市五股區找相似,https://shopee.tw/盧亞公司貨-MIU-MIU-TWIST-玩轉女孩-女性淡香水-小香水-5ml-i.4386253.8297475983?sp_atk=3ea562b0-52ea-4471-9d86-b408718ecf99&xptdk=3ea562b0-52ea-4471-9d86-b408718ecf99,MIU MIU,,前調:柑橘、蘋果花蜜,中調:白色琥珀、零陵香豆,後調:雪松木
"5.1折miu miu 玩轉女孩淡香水 50ML 現貨 廠商直送滿額折$220$3,300$1,699桃園市楊梅區找相似",https://shopee.tw/miu-miu-玩轉女孩淡香水-50ML-現貨-廠商直送-i.116304162.17568721983?sp_atk=784b8883-a74b-4bba-a921-09b05faaf8ee&xptdk=784b8883-a74b-4bba-a921-09b05faaf8ee,MIU MIU,,前調:柑橘、蘋果花蜜,中調:白色琥珀、零陵稜香豆,後調:零雪松木
"❤️MIU MIU繆斯女神女性淡香精 30ML 香精 香水 女香$1,099高雄市鳳山區找相似",https://shopee.tw/❤️MIU-MIU繆斯女神女性淡香精-30ML-香精-香水-女香-i.3377801.10909938440?sp_atk=ea58cac4-4612-4c3f-bfe6-63ec1fa4b2f0&xptdk=ea58cac4-4612-4c3f-bfe6-63ec1fa4b2f0,MIU MIU,,🌼前味:鈴蘭、佛手柑、檸檬,🌼中味:茉莉、玫瑰精油、草香調、黑醋栗、桃子,🌼後味:木質辛香、麝香
"蝦皮優選【公司貨】玩轉女孩淡香水 MIUMIU | 達菲斯香水 美材$1,880 - $2,380臺中市南區找相似",https://shopee.tw/【公司貨】玩轉女孩淡香水-MIUMIU-達菲斯香水-美材-i.352300614.8665887917?sp_atk=71072dfe-a3f5-48f4-9c50-786ad3cf2ec0&xptdk=71072dfe-a3f5-48f4-9c50-786ad3cf2ec0,MIU MIU,香調:甜蜜木質琥珀調,前味:柑橘.蘋果花蜜,中味:白色琥珀.零陵稜香豆,後味:雪松木
"★駿盛★ Miu Miu 玩轉女孩(游轉幻境)女性淡香水 30ML$1,499嘉義市西區找相似",https://shopee.tw/★駿盛★-Miu-Miu-玩轉女孩(游轉幻境)女性淡香水-30ML-i.235062601.12929604030?sp_atk=880897fd-8412-4372-852d-1608e4e07a81&xptdk=880897fd-8412-4372-852d-1608e4e07a81,MIU MIU,,前味:柑橘、蘋果花蜜,中味:白色琥珀、零陵稜香豆,後味:雪松木
"MIU MIU 粉色嬉遊 女性淡香水 繆斯女神 30ml 50ml 100ml 三款$1,869 - $2,799已售出 1臺北市文山區找相似",https://shopee.tw/MIU-MIU-粉色嬉遊-女性淡香水-繆斯女神-30ml-50ml-100ml-三款-i.2153087.1715847052?sp_atk=e7f45493-f463-408e-907f-904078eaec76&xptdk=e7f45493-f463-408e-907f-904078eaec76,MIU MIU,香調:草香清新調、花果清新調,前味:黑醋栗芽,中味:鈴蘭,後味:Agikala木、麝香
◇MOLI 莫麗◇ Miu Miu 粉色嬉遊女性淡香水 20ml※3006-221 2022/3到期$790臺北市中正區找相似,https://shopee.tw/◇MOLI-莫麗◇-Miu-Miu-粉色嬉遊女性淡香水-20ml※3006-221-2022-3到期-i.2299401.7902666459?sp_atk=760fe815-19e3-4559-92f2-65fec448a966&xptdk=760fe815-19e3-4559-92f2-65fec448a966,MIU MIU,香調:草香清新調、花果清新調,前味:黑醋栗芽,中味:鈴蘭,後味:Agikala木、麝香
"蝦皮優選~歐巴&歐尼~MIU MIU 花園綺想精粹女性淡香精 100ml tester$1,899 - $2,199新北市三重區找相似",https://shopee.tw/~歐巴-歐尼~MIU-MIU-花園綺想精粹女性淡香精-100ml-tester-i.7520398.3109710199?sp_atk=cf42ae2a-4c58-48c9-8b31-b9e2bdccd476&xptdk=cf42ae2a-4c58-48c9-8b31-b9e2bdccd476,MIU MIU,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別女性質地噴霧商品數量2出貨地新北市三重區商品詳情香調:木質花香調,前味:晚香玉精粹,中味:麝香,後味:Akigala木
"現貨公司貨！MIU MIU 繆思女神女性淡香精禮盒 (淡香精50ml+身體乳100ml)$2,450已售出 1臺中市大里區找相似",https://shopee.tw/現貨公司貨！MIU-MIU-繆思女神女性淡香精禮盒-(淡香精50ml-身體乳100ml)-i.4323838.13829625537?sp_atk=5f264ec6-67c3-40c0-8479-709ba6bb2ac9&xptdk=5f264ec6-67c3-40c0-8479-709ba6bb2ac9,MIU MIU,,前調:鈴蘭、佛手柑、檸檬,中調:茉莉、玫瑰精油、草香調、黑醋栗、桃子,後調:Akigalawood木質辛香、麝香
