title,link,search_term,note,top_note,heart_note,base_note
"KARL LAGERFELD 卡爾 同名時尚 女性淡香精 85ml/45ML◐香水綁馬尾◐$899 - $1,149已售出 36臺北市大同區找相似",https://shopee.tw//KARL-LAGERFELD-卡爾-同名時尚-女性淡香精-85ml-45ML◐香水綁馬尾◐-i.2002627.1420816824?sp_atk=415ecd64-c543-4ff3-b0c8-cb3f1e731b05&xptdk=415ecd64-c543-4ff3-b0c8-cb3f1e731b05,Karl Lagerfeld,,說明 前調:萊姆、桃子,中調:玫瑰花、木蘭花、赤素馨花,後調:麝香、琥珀木
"蝦皮優選~歐巴&歐尼~KARL LAGERFELD 卡爾同名時尚男性淡香水 100ml tester$950 - $1,199已售出 11新北市三重區找相似",https://shopee.tw//~歐巴-歐尼~KARL-LAGERFELD-卡爾同名時尚男性淡香水-100ml-tester-i.7520398.2911845313?sp_atk=e6964cbf-1405-4ffb-9b12-285da7362a21&xptdk=e6964cbf-1405-4ffb-9b12-285da7362a21,Karl Lagerfeld,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別男性香水濃度EDT、淡香水質地噴霧商品數量2出貨地新北市三重區商品詳情香調:東方花香調,前味:香橙、薰衣草油,中味:蘋果、紫羅蘭葉,後味:檀香、琥珀調
蝦皮優選~歐巴&歐尼~ Karl Lagerfeld 卡爾拉格斐 靛藍雪松 男性淡香水 100ml Tester$777已售出 4新北市三重區找相似,https://shopee.tw//~歐巴-歐尼~-Karl-Lagerfeld-卡爾拉格斐-靛藍雪松-男性淡香水-100ml-Tester-i.7520398.7809499956?sp_atk=ff8f76b7-400f-4c29-bbf3-eadf3459ea78&xptdk=ff8f76b7-400f-4c29-bbf3-eadf3459ea78,Karl Lagerfeld,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別男性香水濃度EDT、淡香水質地噴霧商品數量1出貨地新北市三重區商品詳情前調:佛手柑丶紫羅蘭葉,中調:海鹽丶鼠尾草,後調:雪松丶琥珀
愛妮❤️KARL LAGERFELD 香奈兒老佛爺 卡爾·拉格斐  同名時尚 男性淡香水100ml /【TESTER】$899已售出 77高雄市路竹區找相似,https://shopee.tw//愛妮❤️KARL-LAGERFELD-香奈兒老佛爺-卡爾·拉格斐-同名時尚-男性淡香水100ml-【TESTER】-i.48341460.2595935470?sp_atk=ea5783e2-fcd2-4e88-94ce-3290f1cf6397&xptdk=ea5783e2-fcd2-4e88-94ce-3290f1cf6397,Karl Lagerfeld,,前調:香橙、薰衣草油,中調:蘋果、紫羅蘭葉,後調:檀香、琥珀調
"KARL LAGERFELD 清檸綠茶淡香精100ml$2,400已售出 29新北市新店區找相似",https://shopee.tw//KARL-LAGERFELD-清檸綠茶淡香精100ml-i.5485615.14822779149?sp_atk=19fd34c8-85bc-4884-8aad-ae5b54085efe&xptdk=19fd34c8-85bc-4884-8aad-ae5b54085efe,Karl Lagerfeld,,"商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌KARLLAGERFELD卡爾拉格斐質地噴霧商品數量2出貨地新北市新店區商品詳情""前調:柑橘、檸檬、橙花",中調:綠茶、茉莉、山茶花,"後調:黃金木、麝香、琥珀"""
Karl Lagerfeld Bois De Yuzu 綠意香橙木淡香水  8ml隨身分享罐$239高雄市楠梓區找相似,https://shopee.tw//Karl-Lagerfeld-Bois-De-Yuzu-綠意香橙木淡香水-8ml隨身分享罐-i.536096.5988944754?sp_atk=47c6089d-1d76-43e3-b73f-5a7ad301bdd3&xptdk=47c6089d-1d76-43e3-b73f-5a7ad301bdd3,Karl Lagerfeld,,前調:生薑、柑橘,中調:柚子木、鼠尾草,後調:紙莎草、橡苔
"【艾莉❤美妝小鋪】KARL LAGERFELD 卡爾 古木琥珀男性淡香水100ml TESTER 374-477$1,090臺北市中正區找相似",https://shopee.tw//【艾莉❤美妝小鋪】KARL-LAGERFELD-卡爾-古木琥珀男性淡香水100ml-TESTER-374-477-i.2298919.10763868256?sp_atk=192efc59-547e-4d7d-853a-93d236144419&xptdk=192efc59-547e-4d7d-853a-93d236144419,Karl Lagerfeld,,前味:苦橙、佛手柑、李子,中味:快樂鼠尾草、雪松、天竺葵,後味:琥珀、東佳豆、玉壇木
廣告分香閣Karl Lagerfeld卡爾·拉格斐日耳曼湖畔女性淡香水 分享瓶分裝瓶小ml小香試管針管$35 - $100已售出 3花蓮縣花蓮市找相似,https://shopee.tw//分香閣Karl-Lagerfeld卡爾·拉格斐日耳曼湖畔女性淡香水-分享瓶分裝瓶小ml小香試管針管-i.630102045.12362103538?sp_atk=72ba580f-0232-4aad-bf3a-5b79fda5f272&xptdk=72ba580f-0232-4aad-bf3a-5b79fda5f272,Karl Lagerfeld,,前味:水生調、薄荷、柑橘,中味:鼠尾草、薰衣草、小蒼蘭,後味:黃金木、麝香、苔蘚
"蝦皮優選☆MOMO小屋☆ KARL LAGERFELD 卡爾海灣戀人限量男性淡香水 100ml$1,399已售出 3臺北市萬華區找相似",https://shopee.tw//☆MOMO小屋☆-KARL-LAGERFELD-卡爾海灣戀人限量男性淡香水-100ml-i.2919063.128321874?sp_atk=8a259523-a782-4c0a-a599-314c347893d8&xptdk=8a259523-a782-4c0a-a599-314c347893d8,Karl Lagerfeld,香調:柑橘清新調,前味:橘子、佛手柑、紫蘿蘭,中味:綠薄荷、蘋果、莓綠薄荷,後味:喀什米爾麝香、香根草、琥珀
《尋香小站 》Karl Lagerfeld Bois De Vetiver 紳藍時尚淡香水100ml TESTER包裝$850新北市三重區找相似,https://shopee.tw//《尋香小站-》Karl-Lagerfeld-Bois-De-Vetiver-紳藍時尚淡香水100ml-TESTER包裝-i.6261367.12220650789?sp_atk=6e0c9776-865e-4d6e-a38f-2d3254839f26&xptdk=6e0c9776-865e-4d6e-a38f-2d3254839f26,Karl Lagerfeld,香調:木質清新調,前味:血橙、薄荷葉,中味:天竺葵,後味:香根草、廣藿香
