title,link,search_term
"7.4折廣告正品 Atelier Cologne 分裝試香 歐瓏香水 西柚天堂 無極烏龍 赤霞橘光 持久淡香 30ml 100ml滿額贈$1,063 - $1,658已售出 23臺南市中西區找相似",https://shopee.tw//正品-Atelier-Cologne-分裝試香-歐瓏香水-西柚天堂-無極烏龍-赤霞橘光-持久淡香-30ml-100ml-i.7522019.20406067975?sp_atk=85db204e-5eb0-4769-9326-76dfe2960fa4&xptdk=85db204e-5eb0-4769-9326-76dfe2960fa4,Vince Camuto
"廣告100%正品【帶發票+禮袋】香水⚗英國梨與小蒼蘭 鼠尾草與海鹽 藍風鈴 30ml/100ml 中性香水 男女香水滿額折$99滿額贈$725 - $1,120已售出 459桃園市大園區找相似",https://shopee.tw//100-正品【帶發票-禮袋】香水⚗英國梨與小蒼蘭-鼠尾草與海鹽-藍風鈴-30ml-100ml-中性香水-男女香水-i.763643695.18501527118?sp_atk=cf72c409-9ffc-41cc-a580-09bb78bc8821&xptdk=cf72c409-9ffc-41cc-a580-09bb78bc8821,Vince Camuto
"5.9折廣告🌟今日下單🌟 買一送一 蔚藍香水 香奈♥兒香水 現貨開箱錄影 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml2 件 5折$2,880$1,688已售出 27新北市金山區找相似",https://shopee.tw//🌟今日下單🌟-買一送一-蔚藍香水-香奈♥兒香水-現貨開箱錄影-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-i.97613321.19017371566?sp_atk=dee8566a-2f23-4379-b973-c7c35a5d2acc&xptdk=dee8566a-2f23-4379-b973-c7c35a5d2acc,Vince Camuto
"5.8折廣告❁買一送一❁Mo'schino Toy Boy 熊芯未泯2 小熊香水 泰迪熊男性香水 女性淡香水 莫斯奇諾香水 情侶香水2 件 5折$2,380$1,389已售出 46臺北市松山區找相似",https://shopee.tw//❁買一送一❁Mo'schino-Toy-Boy-熊芯未泯2-小熊香水-泰迪熊男性香水-女性淡香水-莫斯奇諾香水-情侶香水-i.97576140.19912503665?sp_atk=fa37d938-a54c-45de-8046-1551c9d304fc&xptdk=fa37d938-a54c-45de-8046-1551c9d304fc,Vince Camuto
"5.6折廣告🌟今日下單🌟 買一送一  SAUV♥AGE  曠野之♥ 香水100ml 現貨開箱錄影 不正包退  EDT 男士香水淡濃香2 件 5折$1,688 - $1,888已售出 32新北市金山區找相似",https://shopee.tw//🌟今日下單🌟-買一送一-SAUV♥AGE-曠野之♥-香水100ml-現貨開箱錄影-不正包退-EDT-男士香水淡濃香-i.97613321.21804450642?sp_atk=519d29f9-5b76-4a5f-9fef-809ca2d41ebc&xptdk=519d29f9-5b76-4a5f-9fef-809ca2d41ebc,Vince Camuto
"蝦皮優選香親香愛～VINCE CAMUTO 文斯卡穆托 都會經典男性淡香水 100ml$1,268已售出 41臺北市大同區找相似",https://shopee.tw//香親香愛～VINCE-CAMUTO-文斯卡穆托-都會經典男性淡香水-100ml-i.1285345.3508153793?sp_atk=c79b6ebf-cace-44a8-80ae-1eeb8fafe7df&xptdk=c79b6ebf-cace-44a8-80ae-1eeb8fafe7df,Vince Camuto
"蝦皮優選~歐巴&歐尼~Vince Camuto 文斯．卡穆托 系列男性淡香水 100ml tester$1,099 - $1,299已售出 14新北市三重區找相似",https://shopee.tw//~歐巴-歐尼~Vince-Camuto-文斯．卡穆托-系列男性淡香水-100ml-tester-i.7520398.5062608295?sp_atk=33de72e1-42fa-4c43-a379-569a92582564&xptdk=33de72e1-42fa-4c43-a379-569a92582564,Vince Camuto
VINCE CAMUTO 文斯卡穆托 都會經典男性淡香水 100ml$750新北市淡水區找相似,https://shopee.tw//VINCE-CAMUTO-文斯卡穆托-都會經典男性淡香水-100ml-i.17277025.14372415344?sp_atk=a3923d56-1127-4d12-afa7-2e719f2ebc98&xptdk=a3923d56-1127-4d12-afa7-2e719f2ebc98,Vince Camuto
"【超激敗】VINCE CAMUTO 文斯 卡穆托 同名 都會經典 男性淡香水 100ML 文斯卡穆托$1,249已售出 8臺北市大同區找相似",https://shopee.tw//【超激敗】VINCE-CAMUTO-文斯-卡穆托-同名-都會經典-男性淡香水-100ML-文斯卡穆托-i.4884871.20172386?sp_atk=7a073796-c0af-491d-ab24-44f6581db337&xptdk=7a073796-c0af-491d-ab24-44f6581db337,Vince Camuto
"蝦皮優選香親香愛～Vince Camuto 點亮我淡香精 30ml/100ml TESTER, illuminare$868 - $1,538已售出 46臺北市大同區找相似",https://shopee.tw//香親香愛～Vince-Camuto-點亮我淡香精-30ml-100ml-TESTER-illuminare-i.1285345.7317215022?sp_atk=a6573dac-5559-499c-a6e2-78f1d8762007&xptdk=a6573dac-5559-499c-a6e2-78f1d8762007,Vince Camuto
