title,link,search_term,note,top_note,heart_note,base_note
"HUAHUA香水美妝 John Varvatos Artisan 工匠藤編男性淡香水 125ML【全新正品】$899 - $1,180已售出 227臺北市中山區找相似",https://shopee.tw/HUAHUA香水美妝-John-Varvatos-Artisan-工匠藤編男性淡香水-125ML【全新正品】-i.935762.264171914?sp_atk=54381640-7119-44c9-a079-ed791f303c59&xptdk=54381640-7119-44c9-a079-ed791f303c59,John Varvatos,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量11出貨地臺北市中山區商品詳情香調:柑橘芳香調,前味:法式柑橘、橘子、百里香、馬郁蘭,中味:橙花、薑,後味:木質香、琥珀、麝香
"愛妮❤️John Varvatos Artisan Pure 工匠純淨 男性淡香水75ml /125ml /TESTER$940 - $1,175已售出 446高雄市路竹區找相似",https://shopee.tw/愛妮❤️John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水75ml-125ml-TESTER-i.48341460.1154662737?sp_atk=be612876-597d-4d86-ac00-73bd6f20837d&xptdk=be612876-597d-4d86-ac00-73bd6f20837d,John Varvatos,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量170出貨地高雄市路竹區商品詳情前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"蝦皮優選香親香愛～John Varvatos 工匠藤編男性淡香水 125/ 75ml/Tester, Artisan$898 - $1,258已售出 264臺北市大同區找相似",https://shopee.tw/香親香愛～John-Varvatos-工匠藤編男性淡香水-125-75ml-Tester-Artisan-i.1285345.9248979?sp_atk=ed520cba-0c33-42da-9e87-f7a257a9dcf3&xptdk=ed520cba-0c33-42da-9e87-f7a257a9dcf3,John Varvatos,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量10出貨地臺北市大同區商品詳情香調:木質清新調,"前味:西西里島柑橘,柚果實,墨西哥橘子,百里香,西班牙馬鬱蘭,希臘薰衣草","中味:北非洲橙花,印度九里香,茉莉,生薑","後味:木質香,琥珀,麝香"
"John Varvatos Vintage 典藏男性香水 125ML 75ML tester滿額折$60$888 - $1,160已售出 1高雄市新興區找相似",https://shopee.tw/John-Varvatos-Vintage-典藏男性香水-125ML-75ML-tester-i.11003780.6574322545?sp_atk=99d0c108-20bf-4a85-90f3-5681438f6f71&xptdk=99d0c108-20bf-4a85-90f3-5681438f6f71,John Varvatos,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量3出貨地高雄市新興區商品詳情前味:大黃、溫桲果、苦艾,中味:薰衣草、桂皮、茉莉、鳶尾、樅木香脂,後味:廣藿香、橡苔、東加豆、土耳其菸草、軟羔皮
"◆NANA◆John Varvatos Artisan 工匠純淨 男性淡香水 75ml / 125ml/TESTER$989 - $1,250已售出 24臺北市大同區找相似",https://shopee.tw/◆NANA◆John-Varvatos-Artisan-工匠純淨-男性淡香水-75ml-125ml-TESTER-i.357737.1021917618?sp_atk=1fe4bb25-5bc4-4d37-9436-599cd16da8ca&xptdk=1fe4bb25-5bc4-4d37-9436-599cd16da8ca,John Varvatos,,商品規格分類蝦皮購物美妝保養香水、香氛品牌johnvarvatos性別男性香水濃度EDT、淡香水質地噴霧商品數量25出貨地臺北市大同區商品詳情前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"【超激敗】John Varvatos 工匠純淨 藤編 男性淡香水  75ML 125ML Artisan Pure$1,389已售出 17臺北市大同區找相似",https://shopee.tw/【超激敗】John-Varvatos-工匠純淨-藤編-男性淡香水-75ML-125ML-Artisan-Pure-i.4884871.1023352999?sp_atk=bb17f62b-9c8c-4386-ae1b-6784aa017bb7&xptdk=bb17f62b-9c8c-4386-ae1b-6784aa017bb7,John Varvatos,,前味:西班牙檸檬、晚侖夏橙、佛手柑、苦橙葉,中味:橙子花、咖啡樹花、茉莉花、鳶尾草、香菜子、小荳蔻,後味:雪松、白桃花心木、白芷、麝香黃葵籽、香豆
"『山姆百貨』John Varvatos 工匠藤編 男性淡香水 75ml 125ml TESTER無蓋$869 - $1,179已售出 10臺北市大同區找相似",https://shopee.tw/『山姆百貨』John-Varvatos-工匠藤編-男性淡香水-75ml-125ml-TESTER無蓋-i.861145.298859378?sp_atk=2f821925-b434-46f4-9448-933619babc39&xptdk=2f821925-b434-46f4-9448-933619babc39,John Varvatos,,前味:西西里島小柑橘、墨西哥冬橘、野生百里香、西班牙墨角蘭、希臘薰衣草,中味:北非橙花、印度九里香、生薑,後味:木質香、琥珀、麝香
"【七三七香水精品】John Varvatos STAR USA 巨星男性淡香水 100ml$2,280臺北市萬華區找相似",https://shopee.tw/【七三七香水精品】John-Varvatos-STAR-USA-巨星男性淡香水-100ml-i.2761441.14277561959?sp_atk=6ea0cf29-d684-44a0-b9e1-d8b8df0baac9&xptdk=6ea0cf29-d684-44a0-b9e1-d8b8df0baac9,John Varvatos,,前味:寮國紅姜、杜松子、西西里亞香櫞,中味:藍雲杉、綠色小豆蔻萃取、桂花萃取,後味:香根草、委内瑞拉零陵香豆、琥珀木香
"John Varvatos XX Heritage 經典光芒男性淡香水 125ML TESTER(平行輸入)$1,499臺北市大同區找相似",https://shopee.tw/John-Varvatos-XX-Heritage-經典光芒男性淡香水-125ML-TESTER(平行輸入)-i.5431574.17759744938?sp_atk=20b52076-0458-403a-8bc5-c49edc92fda0&xptdk=20b52076-0458-403a-8bc5-c49edc92fda0,John Varvatos,,前調:紅蘋果小荳蔻黑加侖紫羅蘭橙花老鸛草咖啡檀香木雪松,中調:紫羅蘭橙花老鸛草咖啡檀香木雪松,後調:咖啡檀香木雪松
"公司貨 John Varvatos 工匠純淨男性淡香水75ml/工匠藤編男性淡香水125ml滿額折$30$1,249 - $1,549高雄市鹽埕區找相似",https://shopee.tw/公司貨-John-Varvatos-工匠純淨男性淡香水75ml-工匠藤編男性淡香水125ml-i.4892653.14861475873?sp_atk=92d770a9-adbf-4293-ba14-3478ab4ce77e&xptdk=92d770a9-adbf-4293-ba14-3478ab4ce77e,John Varvatos,,前味:柑橘、多汁橘柚、冬季橘香、百里香、墨角蘭、希臘薰衣草,中味:九里香、橙花樹、生薑、紫薑,後味:琥珀、麝香
